office_name,category,address,general_loc,telephone_num,website
Blake Topping Solicitors,Lawyers & Solicitor,"Highpoint Plaza Highpoint First Floor 240 Waterworks Rd, Ashgrove, QLD, 4060|3.85km","Ashgrove, QLD 4060",(07) 3366 6903,http://www.blaketopping.com.au
Delaney & Delaney Solicitors,Lawyers & Solicitor,"7th Floor Northpoint 231 North Qy, Brisbane, QLD, 4000|515m","Brisbane, QLD 4000",(07) 3236 1054,http://www.delaneyanddelaney.com.au
Gerard Malouf & Partners,Lawyers & Solicitor,0,"Bald Hills, QLD 4036",1300 173 316,https://www.gerardmaloufpartners.com.au
Madden Solicitors,Lawyers & Solicitor,"Shop 1/ 11 Hill St, Yeppoon, QLD, 4703|533.79km","Yeppoon, QLD 4703",(07) 4939 8955,http://www.maddensolicitors.com.au
Preston Law,Lawyers & Solicitor,"Level 1, 15 Spence Street, Cairns, QLD, 4870|1388.75km","Cairns City, QLD 4870",(07) 4058 5515,http://www.prestonlaw.com.au
Porter Hulett Solicitors,Lawyers & Solicitor,"606 Wynnum Rd, Morningside, QLD, 4170|4.7km","Morningside, QLD 4170",(07) 3893 0546,http://www.porterhulett.com.au
DA Harris & Associates,Lawyers & Solicitor,"Westfield Helensvale Town Centre, Office 1a / Level 2 Main Street Above Options Tavern, Helensvale, QLD, 4212|59.61km","Helensvale, QLD 4212",(07) 5671 9103,http://www.daharris.com.au
Quinn Family Law,Lawyers & Solicitor,"2 142 Bundall Rd, Bundall, QLD, 4217|70.63km","Bundall, QLD 4217",(07) 5675 2730,https://quinnfamilylaw.com.au
Morton & Morton,Lawyers & Solicitor,"130 Wharf St, Maryborough, QLD, 4650|216.88km","Maryborough, QLD 4650",(07) 4121 2236,http://www.mortonsolicitors.com.au
Connolly Suthers Lawyers,Lawyers & Solicitor,"Amp Building 4161 Flinders St, Townsville, QLD, 4810|1110.41km","Townsville, QLD 4810",(07) 4771 5664,http://www.connollysuthers.com.au
Burns Law,Lawyers & Solicitor,"3 47 Compton Rd, Underwood, QLD, 4119","Underwood, QLD 4119",(07) 3808 7157,http://www.burnslaw.com.au
Briese Lawyers,Lawyers & Solicitor,"303 Margaret St, Toowoomba, QLD, 4350|106.57km","Toowoomba City, QLD 4350",(07) 4638 4833,http://www.brieselawyers.com.au
J. Hamilton & Associates,Lawyers & Solicitor,"Level 1, Worley Parsons Centre, 45 Victoria St, Mackay, QLD, 4740|803.45km","Mackay, QLD 4740",(07) 4957 2526,http://www.jhamiltonassociates.com.au
Thynne + Macartney,Lawyers & Solicitor,"Level 32, Riverside Centre, 123 Eagle Street, Brisbane, QLD, 4000|711m","Brisbane, QLD 4000",(07) 3231 8888,http://www.thymac.com.au
KCH Lawyers,Lawyers & Solicitor,"Level 1, 99 Bolsover St, Rockhampton, QLD, 4700|520.39km","Rockhampton, QLD 4700",(07) 4927 9477,http://www.kchl.com.au
Evolve Legal,Lawyers & Solicitor,"Level 5 Corporate Centre One, 2 Corporate Court, Bundall, QLD, 4217|70.38km","Bundall, QLD 4217",1300 598 113,https://evolvelegal.com.au
Butler McDermott Lawyers,Lawyers & Solicitor,0,"Nambour, QLD 4560",(07) 5441 1044,https://www.butlermcdermott.com.au
Catton Roderick Lawyers,Lawyers & Solicitor,0,"Deception Bay, QLD 4508",(07) 5499 2746,http://www.cattonroderick.com.au
Purcell Taylor Lawyers,Lawyers & Solicitor,"Level 3, Central Plaza, 370 Flinders St, Townsville 4810 370 Flinders St, Townsville, QLD, 4810|1110.45km","Townsville, QLD 4810",(07) 4758 5858,http://www.purcelltaylor.com.au
Parker Family Law,Lawyers & Solicitor,"1 19. Creek St, Redcliffe, QLD, 4020|28.19km","Redcliffe, QLD 4020",(07) 3283 3377,http://www.parkerfamilylaw.com.au
Giudes & Elliott Solicitors,Lawyers & Solicitor,"60 Denham St, Townsville, QLD, 4810|1110.67km","Townsville, QLD 4810",(07) 4772 3655,http://www.giudeselliott.com.au
"Ruddy, Tomlins & Baxter",Lawyers & Solicitor,"126 Young St, Ayr, QLD, 4807|1047.69km","Ayr, QLD 4807",(07) 4783 1733,http://www.rtblegal.com.au
Holloway Jenkins Lawyers,Lawyers & Solicitor,"Suite 1e, Centenary Technology Park 532 Seventeen Miles Rock Rd, Sinnamon Park, QLD, 4073|10.61km","Sinnamon Park, QLD 4073",(07) 3279 6918,http://www.hollowayjenkins.com.au
Anderson Telford Lawyers,Lawyers & Solicitor,"Suite 1 Level 1 62 Walker St, Townsville, QLD, 4810|1110.75km","Townsville, QLD 4810",(07) 4721 5870,http://www.andersontelfordlawyers.com.au
Mortimore & Associates,Lawyers & Solicitor,"29 Crombie Ave, Bundall, QLD, 4217|70.77km","Bundall, QLD 4217",(07) 5617 9110,http://www.mortimore.com.au
RB Family Law,Lawyers & Solicitor,"Suite 67 Ca 8-10 28 Eenie Creek Rd, Noosaville, QLD, 4566|118.79km","Noosaville, QLD 4566",(07) 5430 6667,http://www.rbfamilylaw.com.au
RB Lawyers,Lawyers & Solicitor,"298 Oxley Avenue,, Margate, QLD, 4019|26.3km","Margate, QLD 4019",(07) 3883 3700,http://www.rblawyers.com.au
David Mills Lawyers,Lawyers & Solicitor,"25 Denham St, Rockhampton, QLD, 4700|519.83km","Rockhampton, QLD 4700",(07) 4922 7661,http://www.davidmillslawyers.com.au
Hiscocks Lawyers,Lawyers & Solicitor,0,"Upper Coomera, QLD 4209",(07) 5529 7100,http://hiscockslawyers.com.au
